id;  word;pos;translate
1;   the;a;itu, sang, -nya
2;   be;v;menjadi
3;   and;c;dan
4;   of;i;dari
5;   a;a;Sebuah
6;   in;i;di
7;   to;t;menuju / kepada
8;   have;v;memiliki
9;   to;i;menuju / kepada
10;   it;p;ini (benda)
11;   I;p;saya
12;   that;c;bahwa
13;   for;i;untuk
14;   you;p;kamu
15;   he;p;dia (laki-laki)
16;   with;i;dengan
17;   on;i;di
18;   do;v;melakukan
19;   say;v;mengatakan
20;   this;d;ini
21;   they;p;mereka
22;   at;i;di
23;   but;c;tapi
24;   we;p;kita
25;   his;a;-nya (laki-laki)
26;   from;i;dari
27;   that;d;itu
28;   not;x;tidak
29;   n't;x;tidak
30;   by;i;oleh
31;   she;p;dia (perempuan)
32;   or;c;atau
33;   as;c;sebagai
34;   what;d;apa
35;   go;v;pergi
36;   their;a;milik mereka
37;   can;v;bisa
38;   who;p;siapa
39;   get;v;mendapatkan
40;   if;c;jika
41;   would;v;akan
42;   her;a;-nya (perempuan)
43;   all;d;semua
44;   my;a;-ku, milik saya
45;   make;v;membuat
46;   about;i;tentang
47;   know;v;tahu
48;   will;v;akan
49;   as;i;sebagai
50;   up;r;ke atas
51;   one;m;satu
52;   time;n;waktu
53;   there;e;nah
54;   year;n;tahun
55;   so;r;amat
56;   think;v;berpikir
57;   when;c;ketika
58;   which;d;yang mana
59;   them;p;mereka (objek)
60;   some;d;beberapa
61;   me;p;saya (objek)
62;   people;n;orang-orang
63;   take;v;mengambil
64;   out;r;di luar, ke luar
65;   into;i;ke dalam
66;   just;r;hanya
67;   see;v;lihat
68;   him;p;dia (laki-laki objek)
69;   your;a;-mu
70;   come;v;datang
71;   could;v;bisa
72;   now;r;sekarang
73;   than;c;daripada
74;   like;i;seperti
75;   other;j;lain
76;   how;r;bagaimana
77;   then;r;kemudian
78;   its;a;-nya, milik benda/binatang
79;   our;a;-kami, milik kami
80;   two;m;dua
81;   more;r;lebih
82;   these;d;ini (jamak)
83;   want;v;ingin
84;   way;n;cara
85;   look;v;melihat
86;   first;m;pertama
87;   also;r;juga
88;   new;j;baru
89;   because;c;karena
90;   day;n;hari
91;   more;d;lebih
92;   use;v;menggunakan
93;   no;a;tidak
94;   man;n;manusia
95;   find;v;menemukan
96;   here;r;sini
97;   thing;n;benda
98;   give;v;memberikan
99;   many;d;banyak
100;   well;r;baik
101;   only;r;hanya
102;   those;d;itu (jamak)
103;   tell;v;menceritakan
104;   one;p;satu
105;   very;r;sangat
106;   her;p;-nya (perempuan)
107;   even;r;bahkan
108;   back;r;kembali
109;   any;d;apa saja
110;   good;j;baik
111;   woman;n;wanita
112;   through;i;melalui
113;   us;p;kami (objek)
114;   life;n;kehidupan
115;   child;n;anak
116;   there;r;sana
117;   work;v;mengerjakan
118;   down;r;turun
119;   may;v;boleh
120;   after;i;setelah
121;   should;v;seharusnya
122;   call;v;memanggil
123;   world;n;dunia
124;   over;i;lebih
125;   school;n;sekolah
126;   still;r;masih
127;   try;v;mencoba
128;   in;r;di
129;   as;r;sebagai
130;   last;m;terakhir
131;   ask;v;meminta
132;   need;v;memerlukan
133;   too;r;terlalu
134;   feel;v;merasa
135;   three;m;tiga
136;   when;r;kapan
137;   state;n;negara
138;   never;r;tak pernah
139;   become;v;menjadi
140;   between;i;antara
141;   high;j;tinggi
142;   really;r;sangat
143;   something;p;sesuatu
144;   most;r;paling
145;   another;d;lain
146;   much;d;banyak
147;   family;n;keluarga
148;   own;d;sendiri
149;   out;i;di luar
150;   leave;v;meninggalkan
151;   put;v;menaruh
152;   old;j;tua
153;   while;c;sementara
154;   mean;v;bermaksud
155;   on;r;di
156;   keep;v;menjaga
